ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000228834	NA	RP11-249L21.4	NA	NA	NA	NA
ENSG00000230290	NA	ARMC2-AS1	ARMC2-AS1	NA	NA	NA
ENSG00000080546	27244	SESN1	SESN1	606103	Q9Y6P5	NA
ENSG00000271730	NA	RP11-787I22.3	NA	NA	NA	NA
ENSG00000183137	285753	CEP57L1	CEP57L1	NA	Q8IYX8	NA
ENSG00000185250	285755	PPIL6	PPIL6	NA	Q8IXY8	NA
ENSG00000135587	6610	SMPD2	SMPD2	603498	O60906	NA
ENSG00000135596	64780	MICAL1	MICAL1	607129	Q8TDZ2	NA
ENSG00000156011	23362	PSD3	PSD3	614440	Q9NYI0	NA
ENSG00000201157	NA	SNORA62	NA	NA	NA	NA
ENSG00000253335	NA	RP11-420B22.1	NA	NA	NA	NA
ENSG00000270255	NA	RP11-420B22.2	NA	NA	NA	NA
ENSG00000254242	NA	RP11-1080G15.2	NA	NA	NA	NA
ENSG00000104611	63898	SH2D4A	SH2D4A	614968	Q9H788	NA
ENSG00000147408	55790	CSGALNACT1	CSGALNACT1	NA	Q8TDX6	NA
ENSG00000253270	NA	RP11-1105O14.1	NA	NA	NA	NA
ENSG00000104613	55174	INTS10	INTS10	611353	Q9NVR2	NA
ENSG00000175445	4023	LPL	LPL	609708	P06858	DB06439:DB09568:DB13751
ENSG00000242709	NA	RPL30P9	RPL30P9	NA	NA	NA
ENSG00000061337	11178	LZTS1	LZTS1	606551	Q9Y250	NA
ENSG00000147443	9046	DOK2	DOK2	604997	O60496	NA
ENSG00000130227	23039	XPO7	XPO7	606140	Q9UIA9	NA
ENSG00000240291	NA	RP11-499P20.2	NA	NA	NA	NA
ENSG00000225527	NA	RP11-383B4.4	NA	NA	NA	NA
ENSG00000241058	221078	NSUN6	NSUN6	NA	Q8TEA1	NA
ENSG00000271786	NA	RP11-139J15.7	NA	NA	NA	NA
ENSG00000152487	NA	ARL5B-AS1	ARL5B-AS1	NA	NA	NA
ENSG00000165997	221079	ARL5B	ARL5B	608909	Q96KC2	DB04315
ENSG00000225509	NA	AIFM1P1	AIFM1P1	NA	NA	NA
ENSG00000234244	NA	RP11-139J15.5	NA	NA	NA	NA
ENSG00000234813	NA	RP11-288D15.1	NA	NA	NA	NA
ENSG00000204740	NA	MALRD1	MALRD1	NA	Q5VYJ5	NA
ENSG00000227734	NA	RP11-49L2.1	NA	NA	NA	NA
ENSG00000239539	NA	HMGN1P20	HMGN1P20	NA	NA	NA
ENSG00000236960	NA	RP11-265G8.3	NA	NA	NA	NA
ENSG00000200545	NA	U3	NA	NA	NA	NA
ENSG00000252001	NA	RNA5SP303	RNA5SP303	NA	NA	NA
ENSG00000233968	101928834	RP11-354E11.2	NA	NA	NA	NA
ENSG00000230818	NA	MTND2P16	MTND2P16	NA	NA	NA
ENSG00000212072	NA	AL353147.1	NA	NA	NA	NA
