Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Heart	9347	37	0.999999999999993	1	ENSG00000203668:ENSG00000235655:ENSG00000128656:ENSG00000144320:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000180228:ENSG00000204311:ENSG00000180801:ENSG00000025796:ENSG00000118690:ENSG00000080546:ENSG00000271730:ENSG00000183137:ENSG00000135587:ENSG00000135596:ENSG00000104611:ENSG00000104613:ENSG00000061337:ENSG00000147443:ENSG00000130227:ENSG00000240291:ENSG00000241058:ENSG00000165997:ENSG00000120594:ENSG00000168283:ENSG00000255529:ENSG00000103569:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000157450:ENSG00000137776:ENSG00000157483:ENSG00000105171:ENSG00000105176
DEG.down	Kidney	5412	23	0.999999918311139	1	ENSG00000203668:ENSG00000128656:ENSG00000144320:ENSG00000223960:ENSG00000145349:ENSG00000025796:ENSG00000118690:ENSG00000080546:ENSG00000271730:ENSG00000156011:ENSG00000147408:ENSG00000175445:ENSG00000130227:ENSG00000165997:ENSG00000120594:ENSG00000148444:ENSG00000168283:ENSG00000263155:ENSG00000255529:ENSG00000103569:ENSG00000157450:ENSG00000157456:ENSG00000105176
DEG.down	Liver	7985	32	0.999999999997502	1	ENSG00000203668:ENSG00000235655:ENSG00000144320:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000180228:ENSG00000204311:ENSG00000145349:ENSG00000180801:ENSG00000112297:ENSG00000025796:ENSG00000080546:ENSG00000183137:ENSG00000135587:ENSG00000135596:ENSG00000147408:ENSG00000147443:ENSG00000130227:ENSG00000120594:ENSG00000148444:ENSG00000168283:ENSG00000255529:ENSG00000128918:ENSG00000137845:ENSG00000128923:ENSG00000157450:ENSG00000137776:ENSG00000140307:ENSG00000182718:ENSG00000173482:ENSG00000105176
DEG.down	Lung	905	0	1	1	
DEG.down	Muscle	6836	24	0.999999999997134	1	ENSG00000203668:ENSG00000235655:ENSG00000128656:ENSG00000155636:ENSG00000223960:ENSG00000204311:ENSG00000025796:ENSG00000183137:ENSG00000135587:ENSG00000135596:ENSG00000147408:ENSG00000104613:ENSG00000061337:ENSG00000240291:ENSG00000241058:ENSG00000165997:ENSG00000120594:ENSG00000263155:ENSG00000128918:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000157483:ENSG00000266910
DEG.down	Nerve	905	3	0.994593260706312	1	ENSG00000079156:ENSG00000112297:ENSG00000263155
DEG.down	Ovary	1521	9	0.969739514661164	1	ENSG00000128656:ENSG00000079156:ENSG00000112297:ENSG00000061337:ENSG00000147443:ENSG00000263155:ENSG00000103569:ENSG00000259250:ENSG00000157456
DEG.down	Pancreas	9586	42	0.999999999999742	1	ENSG00000091483:ENSG00000203668:ENSG00000235655:ENSG00000128656:ENSG00000154518:ENSG00000144320:ENSG00000155636:ENSG00000223960:ENSG00000180228:ENSG00000204311:ENSG00000145349:ENSG00000112297:ENSG00000164494:ENSG00000080546:ENSG00000271730:ENSG00000183137:ENSG00000135596:ENSG00000156011:ENSG00000147408:ENSG00000175445:ENSG00000061337:ENSG00000147443:ENSG00000130227:ENSG00000241058:ENSG00000165997:ENSG00000120594:ENSG00000168283:ENSG00000148450:ENSG00000263155:ENSG00000255529:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000157450:ENSG00000137776:ENSG00000157483:ENSG00000140307:ENSG00000173482:ENSG00000169021:ENSG00000105171:ENSG00000105176:ENSG00000266910
DEG.down	Pituitary	1927	10	0.993801092501352	1	ENSG00000145349:ENSG00000180801:ENSG00000112297:ENSG00000104611:ENSG00000147408:ENSG00000175445:ENSG00000147443:ENSG00000120594:ENSG00000263155:ENSG00000157483
DEG.down	Prostate	742	4	0.940242774377017	1	ENSG00000054277:ENSG00000203668:ENSG00000175445:ENSG00000103569
DEG.down	Salivary_Gland	1861	9	0.996051725939823	1	ENSG00000128656:ENSG00000163364:ENSG00000145349:ENSG00000118690:ENSG00000061337:ENSG00000148450:ENSG00000128918:ENSG00000103569:ENSG00000173482
DEG.down	Skin	2131	6	0.999984147739369	1	ENSG00000147408:ENSG00000175445:ENSG00000061337:ENSG00000147443:ENSG00000148450:ENSG00000128918
DEG.down	Small_Intestine	1382	9	0.936764913134117	1	ENSG00000128656:ENSG00000079156:ENSG00000180801:ENSG00000118690:ENSG00000147408:ENSG00000061337:ENSG00000120594:ENSG00000128918:ENSG00000103569
DEG.down	Spleen	2069	10	0.997439486685607	1	ENSG00000128656:ENSG00000144320:ENSG00000145349:ENSG00000104611:ENSG00000175445:ENSG00000061337:ENSG00000255529:ENSG00000128918:ENSG00000128923:ENSG00000157483
DEG.down	Stomach	2607	14	0.997339900548366	1	ENSG00000128656:ENSG00000144320:ENSG00000163364:ENSG00000223960:ENSG00000204311:ENSG00000112297:ENSG00000118690:ENSG00000147408:ENSG00000175445:ENSG00000061337:ENSG00000120594:ENSG00000255529:ENSG00000103569:ENSG00000128923
DEG.down	Testis	2912	9	0.999998304055607	1	ENSG00000145349:ENSG00000147408:ENSG00000175445:ENSG00000147443:ENSG00000120594:ENSG00000148450:ENSG00000263155:ENSG00000259250:ENSG00000157483
DEG.down	Thyroid	1038	7	0.896333060354308	1	ENSG00000079156:ENSG00000180801:ENSG00000156011:ENSG00000263155:ENSG00000128918:ENSG00000103569:ENSG00000157456
DEG.down	Uterus	843	6	0.848988939303648	1	ENSG00000054277:ENSG00000079156:ENSG00000112297:ENSG00000104611:ENSG00000175445:ENSG00000103569
DEG.down	Vagina	647	4	0.889102405989028	1	ENSG00000128656:ENSG00000079156:ENSG00000175445:ENSG00000103569
DEG.twoside	Adipose_Tissue	3487	12	0.999999186578581	1	ENSG00000224525:ENSG00000163364:ENSG00000156011:ENSG00000147408:ENSG00000175445:ENSG00000147443:ENSG00000165997:ENSG00000120594:ENSG00000263155:ENSG00000128918:ENSG00000157456:ENSG00000173482
DEG.twoside	Adrenal_Gland	5012	22	0.999999463998029	1	ENSG00000225554:ENSG00000203668:ENSG00000144320:ENSG00000163364:ENSG00000145349:ENSG00000180801:ENSG00000164494:ENSG00000271730:ENSG00000135596:ENSG00000156011:ENSG00000175445:ENSG00000061337:ENSG00000263155:ENSG00000103569:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000259353:ENSG00000259738:ENSG00000157456:ENSG00000157483:ENSG00000267498
DEG.twoside	Bladder	946	3	0.996159779837923	1	ENSG00000079156:ENSG00000147408:ENSG00000263155
