# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Pregnancy.B_ce...2      COVAR   12577    -0.068319   -0.0066793      0.16044      0.66488 Mammary_Gland_Pregnancy.B_cell_Ly6d_high
Mammary_Gland_Pregnancy.Dend...1      COVAR   12577     0.011966    0.0018717     0.083476      0.44301 Mammary_Gland_Pregnancy.Dendritic_cell_Cd209a_high
Mammary_Gland_Pregnancy.Dend...2      COVAR   12577    -0.083471    -0.012094     0.082641      0.84375 Mammary_Gland_Pregnancy.Dendritic_cell_Fscn1_high
Mammary_Gland_Pregnancy.Duct...       COVAR   12577     -0.14172    -0.011007      0.23865      0.72369 Mammary_Gland_Pregnancy.Ductal_luminal_cell
Mammary_Gland_Pregnancy.Endo...       COVAR   12577     0.007867    0.0010299     0.083376      0.46241 Mammary_Gland_Pregnancy.Endothelial_cell
Mammary_Gland_Pregnancy.Lumi...       COVAR   12577   -0.0043858   -0.0017738     0.029051         0.56 Mammary_Gland_Pregnancy.Luminal_cell
Mammary_Gland_Pregnancy.Macr...       COVAR   12577     0.069478     0.014587       0.0665      0.14807 Mammary_Gland_Pregnancy.Macrophage
Mammary_Gland_Pregnancy.Mast...       COVAR   12577     0.027051    0.0037655     0.066123      0.34124 Mammary_Gland_Pregnancy.Mast_cell
Mammary_Gland_Pregnancy.Myel...       COVAR   12577    -0.070028    -0.011061     0.084338      0.79681 Mammary_Gland_Pregnancy.Myeloid_leukocyte
Mammary_Gland_Pregnancy.Myoe...       COVAR   12577   -0.0022252  -0.00042567     0.068947      0.51287 Mammary_Gland_Pregnancy.Myoepithelial_cell
Mammary_Gland_Pregnancy.NK_c...1      COVAR   12577     -0.10409    -0.011891      0.12641      0.79487 Mammary_Gland_Pregnancy.NK_cell_Gzma_high
Mammary_Gland_Pregnancy.NK_c...2      COVAR   12577    -0.072513    -0.018131     0.055064      0.90605 Mammary_Gland_Pregnancy.NK_cells_Gzmb_high
Mammary_Gland_Pregnancy.Secr...       COVAR   12577     0.098755     0.026213     0.060898     0.052454 Mammary_Gland_Pregnancy.Secretory_alveoli_cell
Mammary_Gland_Pregnancy.Stro...       COVAR   12577    -0.034717   -0.0065066     0.068278      0.69443 Mammary_Gland_Pregnancy.Stromal_cell
Mammary_Gland_Pregnancy.T_ce...1      COVAR   12577    -0.051675   -0.0049416      0.16575      0.62239 Mammary_Gland_Pregnancy.T_cell
Mammary_Gland_Pregnancy.T_ce...2      COVAR   12577    -0.049244   -0.0080177     0.050754      0.83402 Mammary_Gland_Pregnancy.T_cell_Grwd1_high
Mammary_Gland_Virgin.B_cell_...1      COVAR   12577     -0.20893    -0.019219      0.13635      0.93727 Mammary_Gland_Virgin.B_cell_Cd79a.Fcer2a_high
Mammary_Gland_Virgin.B_cell_...2      COVAR   12577    -0.028455   -0.0024473      0.14534      0.57761 Mammary_Gland_Virgin.B_cell_Cd79a.Iglc2_high
