# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neonatal_Muscle.Skeletal_mus...2     COVAR   12577      0.03136    0.0049026     0.067034      0.31996 Neonatal_Muscle.Skeletal_muscle_cell_Tnnc2_high
Neonatal_Muscle.Smooth_muscl...      COVAR   12577     -0.18189    -0.020579      0.13282      0.91457 Neonatal_Muscle.Smooth_muscle_cell_Mylk_high
Neonatal_Muscle.Stromal_cell...1     COVAR   12577     -0.19574    -0.018494      0.18709      0.85226 Neonatal_Muscle.Stromal_cell_Ndn_high
Neonatal_Muscle.Stromal_cell...2     COVAR   12577    -0.075032    -0.010937     0.073424      0.84657 Neonatal_Muscle.Stromal_cell_Spp1_high
Neonatal_Muscle.T_cell               COVAR   12577    -0.086313    -0.012023     0.086405      0.84108 Neonatal_Muscle.T_cell
Neonatal_Muscle.Tendon_stem....      COVAR   12577    -0.015852   -0.0017312      0.14115      0.54471 Neonatal_Muscle.Tendon_stem.progenitor_cell
Neonatal_Rib.B_cell                  COVAR   12577     -0.15987    -0.017558      0.13686      0.87861 Neonatal_Rib.B_cell
Neonatal_Rib.Cartilage_cell_...1     COVAR   12577      0.25419     0.030998      0.12037     0.017363 Neonatal_Rib.Cartilage_cell_Clu_high
Neonatal_Rib.Cartilage_cell_...2     COVAR   12577      0.19387     0.021702      0.13085     0.069242 Neonatal_Rib.Cartilage_cell_Col2a1_high
Neonatal_Rib.Cartilage_cell_...3     COVAR   12577       0.1742     0.024526      0.10113     0.042506 Neonatal_Rib.Cartilage_cell_Cxcl14_high
Neonatal_Rib.Cartilage_cell_...4     COVAR   12577       0.1242      0.01756       0.1052      0.11888 Neonatal_Rib.Cartilage_cell_Ppa1_high
Neonatal_Rib.Cartilage_cell_...5     COVAR   12577      0.17136     0.024358      0.10558     0.052313 Neonatal_Rib.Cartilage_cell_Prg4_high
Neonatal_Rib.Dividing_cell           COVAR   12577      0.10437     0.013933     0.094923      0.13578 Neonatal_Rib.Dividing_cell
Neonatal_Rib.Endothelial_cell        COVAR   12577     -0.18255    -0.024112      0.10107      0.96454 Neonatal_Rib.Endothelial_cell
Neonatal_Rib.Erythroblast_Hb...      COVAR   12577   -0.0061391  -0.00087925     0.099751      0.52454 Neonatal_Rib.Erythroblast_Hba.a1_high
Neonatal_Rib.Erythroblast_Tt...      COVAR   12577     0.017637    0.0016474      0.18225      0.46145 Neonatal_Rib.Erythroblast_Ttr_high
Neonatal_Rib.Granulocyte             COVAR   12577  -7.4618e-05  -8.8675e-06       0.1304      0.50023 Neonatal_Rib.Granulocyte
Neonatal_Rib.Macrophage_C1qc...      COVAR   12577     0.083853     0.011339      0.10217      0.20592 Neonatal_Rib.Macrophage_C1qc_high
Neonatal_Rib.Macrophage_Ctss...      COVAR   12577    -0.011252   -0.0013827      0.11794        0.538 Neonatal_Rib.Macrophage_Ctss_high
Neonatal_Rib.Muscle_cell             COVAR   12577     0.098413     0.010867      0.14738      0.25215 Neonatal_Rib.Muscle_cell
Neonatal_Rib.Muscle_cell_Act...1     COVAR   12577    -0.049473   -0.0060518      0.10019      0.68927 Neonatal_Rib.Muscle_cell_Acta2_high
Neonatal_Rib.Muscle_cell_Act...2     COVAR   12577     0.032185    0.0044256     0.078578      0.34106 Neonatal_Rib.Muscle_cell_Actc1_high
Neonatal_Rib.Neuron_Mpz_high         COVAR   12577    -0.074004   -0.0072663      0.11972      0.73176 Neonatal_Rib.Neuron_Mpz_high
Neonatal_Rib.Neuron_Stmn2_hi...      COVAR   12577    -0.046037   -0.0063928     0.085948      0.70389 Neonatal_Rib.Neuron_Stmn2_high
Neonatal_Rib.Neutrophil              COVAR   12577    -0.094173   -0.0099501      0.11826      0.78706 Neonatal_Rib.Neutrophil
