# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Fetal_Liver.Mast_cell_Mcpt8_...      COVAR   12577      0.26039     0.033951      0.11648     0.012699 Fetal_Liver.Mast_cell_Mcpt8_high
Fetal_Liver.Megakaryocyte            COVAR   12577     0.010045    0.0014364      0.10312       0.4612 Fetal_Liver.Megakaryocyte
Fetal_Liver.Neutrophil_Elane...      COVAR   12577     0.056798    0.0075365      0.13643      0.33859 Fetal_Liver.Neutrophil_Elane_high
Fetal_Liver.Neutrophil_Ngp_h...      COVAR   12577     0.048254    0.0074243     0.086759      0.28905 Fetal_Liver.Neutrophil_Ngp_high
Fetal_Liver.Stem_and_progeni...      COVAR   12577      0.03497    0.0046862      0.14347      0.40372 Fetal_Liver.Stem_and_progenitor_cell
Fetal_Lung.Epithelial_cell_A...      COVAR   12577      0.14844     0.016785      0.16919      0.19016 Fetal_Lung.Epithelial_cell_Aldh1a2_high
Fetal_Lung.Epithelial_cell_S...      COVAR   12577     0.058162    0.0065692      0.20957      0.39069 Fetal_Lung.Epithelial_cell_Sftpc_high
Fetal_Lung.Erythroblast_Hba....      COVAR   12577     -0.20344    -0.022578      0.18222      0.86787 Fetal_Lung.Erythroblast_Hba.x_high
Fetal_Lung.Erythroblast_Hbb....      COVAR   12577      -0.1859    -0.021016      0.18502      0.84248 Fetal_Lung.Erythroblast_Hbb.bs_high
Fetal_Lung.Erythroblast_Mt2_...      COVAR   12577     0.042973    0.0054194      0.13147      0.37189 Fetal_Lung.Erythroblast_Mt2_high
Fetal_Lung.Erythroblast_Mt2....      COVAR   12577     0.032313    0.0046235      0.12545      0.39837 Fetal_Lung.Erythroblast_Mt2.Mt1_high
Fetal_Lung.Macrophage_Lyz2_h...      COVAR   12577      -0.0142   -0.0017158      0.15703      0.53603 Fetal_Lung.Macrophage_Lyz2_high
Fetal_Lung.Macrophage_Pf4high        COVAR   12577     0.059332    0.0067302      0.14906       0.3453 Fetal_Lung.Macrophage_Pf4high
Fetal_Lung.Neutrophil_Gm5483...      COVAR   12577    -0.030289   -0.0030607       0.1729      0.56953 Fetal_Lung.Neutrophil_Gm5483_high
Fetal_Lung.Neutrophil_S100a8...      COVAR   12577    -0.064883   -0.0088048      0.15645      0.66082 Fetal_Lung.Neutrophil_S100a8_high
Fetal_Lung.Smooth_muscle_cell        COVAR   12577     -0.32101    -0.034543      0.19389      0.95109 Fetal_Lung.Smooth_muscle_cell
