# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Lung.leukocyte                       COVAR   12076    0.0012575    0.0013119     0.010142      0.45067 Lung.leukocyte
Lung.lung_endothelial_cell           COVAR   12076    -0.003536   -0.0048469     0.010385      0.63326 Lung.lung_endothelial_cell
Lung.monocyte                        COVAR   12076   0.00017091   0.00025508    0.0092334      0.49262 Lung.monocyte
Lung.myeloid_cell                    COVAR   12076    0.0070372     0.012026     0.010644      0.25427 Lung.myeloid_cell
Lung.natural_killer_cell             COVAR   12076    -0.021696    -0.030506     0.011154      0.97411 Lung.natural_killer_cell
Lung.stromal_cell                    COVAR   12076     0.010763     0.016403    0.0087781      0.11009 Lung.stromal_cell
Lung.T_cell                          COVAR   12076    -0.012863    -0.017587     0.011549      0.86729 Lung.T_cell
Lung.unknown                         COVAR   12076    0.0027447    0.0018634     0.022098      0.45058 Lung.unknown
Mammary_Gland.basal_cell             COVAR   12076     0.013478     0.027252     0.007424     0.034744 Mammary_Gland.basal_cell
Mammary_Gland.endothelial_ce...      COVAR   12076   -0.0063313   -0.0096724    0.0089258      0.76093 Mammary_Gland.endothelial_cell
Mammary_Gland.luminal_epithe...      COVAR   12076     0.016885     0.032518    0.0088738      0.02855 Mammary_Gland.luminal_epithelial_cell_of_mammary_gland
Mammary_Gland.stromal_cell           COVAR   12076    0.0089678     0.016264    0.0076216      0.11968 Mammary_Gland.stromal_cell
Marrow.B_cell                        COVAR   12076      -0.0105    -0.020348    0.0091466      0.87451 Marrow.B_cell
Marrow.basophil                      COVAR   12076   -0.0044094   -0.0091937    0.0073931      0.72455 Marrow.basophil
Marrow.common_lymphoid_proge...      COVAR   12076   -0.0042943    -0.010241     0.006153      0.75738 Marrow.common_lymphoid_progenitor
Marrow.granulocyte                   COVAR   12076   -0.0096598    -0.012728    0.0083886      0.87523 Marrow.granulocyte
Marrow.granulocyte_monocyte_...      COVAR   12076   -0.0092743    -0.022335    0.0065178       0.9226 Marrow.granulocyte_monocyte_progenitor_cell
Marrow.hematopoietic_precurs...      COVAR   12076   -0.0040802    -0.008026    0.0093385      0.66891 Marrow.hematopoietic_precursor_cell
Marrow.immature_B_cell               COVAR   12076   -0.0037825   -0.0058636     0.010422      0.64166 Marrow.immature_B_cell
Marrow.immature_natural_kill...      COVAR   12076    -0.013972    -0.021919     0.009789      0.92324 Marrow.immature_natural_killer_cell
Marrow.immature_NK_T_cell            COVAR   12076    -0.013553     -0.02453    0.0088795      0.93652 Marrow.immature_NK_T_cell
Marrow.immature_T_cell               COVAR   12076   -0.0066277    -0.010288    0.0099577      0.74715 Marrow.immature_T_cell
Marrow.late_pro.B_cell               COVAR   12076    -0.010803    -0.023144    0.0066958      0.94666 Marrow.late_pro.B_cell
Marrow.macrophage                    COVAR   12076   -0.0041259   -0.0072621    0.0085078      0.68614 Marrow.macrophage
Marrow.mature_natural_killer...      COVAR   12076   -0.0084277    -0.015705    0.0086488      0.83507 Marrow.mature_natural_killer_cell
Marrow.megakaryocyte.erythro...      COVAR   12076   0.00082522    0.0019006    0.0064505       0.4491 Marrow.megakaryocyte.erythroid_progenitor_cell
Marrow.monocyte                      COVAR   12076   -0.0050351    -0.009201    0.0096505      0.69907 Marrow.monocyte
Marrow.naive_B_cell                  COVAR   12076   -0.0027176   -0.0034507     0.011764      0.59135 Marrow.naive_B_cell
Marrow.pre.natural_killer_ce...      COVAR   12076   -0.0058116    -0.014264    0.0058486       0.8398 Marrow.pre.natural_killer_cell
Marrow.pro.B_cell                    COVAR   12076    -0.016827    -0.022874     0.010366      0.94773 Marrow.pro.B_cell
Marrow.regulatory_T_cell             COVAR   12076     -0.01876    -0.027365     0.010645      0.96099 Marrow.regulatory_T_cell
Marrow.Slamf1.negative_multi...      COVAR   12076   0.00051832    0.0010435    0.0085468      0.47582 Marrow.Slamf1.negative_multipotent_progenitor_cell
Marrow.Slamf1.positive_multi...      COVAR   12076   -0.0021677   -0.0052727    0.0058758       0.6439 Marrow.Slamf1.positive_multipotent_progenitor_cell
Pancreas.endothelial_cell            COVAR   12076    -0.011335    -0.019437    0.0079913      0.92195 Pancreas.endothelial_cell
Pancreas.leukocyte                   COVAR   12076   -0.0059881   -0.0099158       0.0106      0.71392 Pancreas.leukocyte
Pancreas.pancreatic_A_cell           COVAR   12076    0.0094332     0.017629    0.0070459     0.090327 Pancreas.pancreatic_A_cell
Pancreas.pancreatic_acinar_c...      COVAR   12076     0.024964      0.01867      0.01358     0.033029 Pancreas.pancreatic_acinar_cell
Pancreas.pancreatic_D_cell           COVAR   12076    0.0086858     0.016754    0.0066228      0.09486 Pancreas.pancreatic_D_cell
Pancreas.pancreatic_ductal_c...      COVAR   12076    0.0058895     0.010759    0.0077308      0.22309 Pancreas.pancreatic_ductal_cell
Pancreas.pancreatic_PP_cell          COVAR   12076     0.010046     0.019774    0.0065626      0.06292 Pancreas.pancreatic_PP_cell
Pancreas.pancreatic_stellate...      COVAR   12076   0.00074671    0.0012905    0.0079898      0.46277 Pancreas.pancreatic_stellate_cell
Pancreas.type_B_pancreatic_c...      COVAR   12076     0.007661      0.01635    0.0056867     0.088976 Pancreas.type_B_pancreatic_cell
Skin.basal_cell_of_epidermis         COVAR   12076     0.013998     0.026596    0.0079539     0.039228 Skin.basal_cell_of_epidermis
Skin.epidermal_cell                  COVAR   12076    0.0032483    0.0067242    0.0069445      0.31999 Skin.epidermal_cell
Skin.keratinocyte_stem_cell          COVAR   12076    0.0057384    0.0096175    0.0090736      0.26356 Skin.keratinocyte_stem_cell
Skin.leukocyte                       COVAR   12076   -0.0018538   -0.0036406     0.010116       0.5727 Skin.leukocyte
Skin.stem_cell_of_epidermis          COVAR   12076     0.002657    0.0060658    0.0061947        0.334 Skin.stem_cell_of_epidermis
Spleen.B_cell                        COVAR   12076   -0.0030894   -0.0037186     0.012869      0.59486 Spleen.B_cell
Spleen.macrophage                    COVAR   12076    -0.012299    -0.016788      0.01101      0.86799 Spleen.macrophage
Spleen.T_cell                        COVAR   12076   -0.0059083   -0.0076629     0.012467      0.68221 Spleen.T_cell
Thymus.DN1_thymic_pro.T_cell         COVAR   12076    -0.018385    -0.027672    0.0099976      0.96702 Thymus.DN1_thymic_pro.T_cell
Thymus.immature_T_cell               COVAR   12076   -0.0035255   -0.0044803     0.012144       0.6142 Thymus.immature_T_cell
Thymus.professional_antigen_...      COVAR   12076    -0.014117    -0.018749     0.016542      0.80327 Thymus.professional_antigen_presenting_cell
Tongue.basal_cell_of_epiderm...      COVAR   12076    0.0070441     0.015116    0.0072409      0.16533 Tongue.basal_cell_of_epidermis
Tongue.keratinocyte                  COVAR   12076   -0.0006742   -0.0015255    0.0060504      0.54436 Tongue.keratinocyte
Trachea.blood_cell                   COVAR   12076    -0.010587    -0.018031     0.012048      0.81022 Trachea.blood_cell
Trachea.endothelial_cell             COVAR   12076    -0.000681   -0.0011602    0.0079629      0.53408 Trachea.endothelial_cell
Trachea.epithelial_cell              COVAR   12076     0.039096     0.045184     0.016357    0.0084285 Trachea.epithelial_cell
Trachea.mesenchymal_cell             COVAR   12076     0.013802     0.025905    0.0079382     0.041063 Trachea.mesenchymal_cell
